Date,Open,High,Low,Close,Volume,Company
11/08/2023,26.9,26.9,26.9,26.9,100,SASN
10/08/2023,26.5,28,26,26.9,1200,SASN
09/08/2023,26.5,26.5,26.5,26.5,100,SASN
07/08/2023,25.8,28.3,25.8,26.2,5100,SASN
04/08/2023,25.85,25.85,25.8,25.8,10200,SASN
03/08/2023,25.8,25.8,25.8,25.8,2500,SASN
02/08/2023,24.5,25.8,24,25.65,10700,SASN
01/08/2023,24.5,24.5,24.5,24.5,300,SASN
07/31/2023,24.5,24.5,24.5,24.5,1600,SASN
07/28/2023,25.8,25.8,25,25.3,500,SASN
07/25/2023,27,27,25.7,25.8,5500,SASN
07/24/2023,27,27,27,27,1200,SASN
07/21/2023,27,27,27,27,100,SASN
07/20/2023,28,28,28,28,100,SASN
07/19/2023,29,29,29,29,900,SASN
07/18/2023,28.5,29,27,27.9,9300,SASN
07/17/2023,29,29,29,29,300,SASN
07/14/2023,29,29,29,29,2000,SASN
07/13/2023,28.5,29,28,28.2,17500,SASN
12/07/2023,28,28,28,28,1000,SASN
11/07/2023,30,30,29,29.15,600,SASN
10/07/2023,30.5,30.5,30.5,30.5,100,SASN
07/07/2023,29,29,29,29,4200,SASN
06/07/2023,30.5,30.5,29.85,30.05,300,SASN
05/07/2023,29.85,29.85,29.85,29.85,300,SASN
03/07/2023,30.5,30.5,29.75,29.85,4700,SASN
06/30/2023,30,30,30,30,100,SASN
06/29/2023,29.8,29.8,29.8,29.8,400,SASN
06/27/2023,30.8,30.8,30.8,30.8,100,SASN
06/26/2023,30,32.6,29.75,30.8,300,SASN
06/23/2023,30,30,28,29.75,1900,SASN
06/22/2023,30,30,30,30,200,SASN
06/21/2023,30,30,30,30,100,SASN
06/20/2023,30,30,30,30,15800,SASN
06/19/2023,30,30,30,30,100,SASN
06/16/2023,30,30,30,30,200,SASN
06/15/2023,30,30,30,30,49000,SASN
06/14/2023,30,30,30,30,54500,SASN
06/13/2023,30,30,30,30,25000,SASN
12/06/2023,30,31,27.3,29.85,9800,SASN
09/06/2023,30,30,30,30,4000,SASN
08/06/2023,30,30,28,29.75,7000,SASN
07/06/2023,27.1,31,26,27.3,1300,SASN
06/06/2023,31,31,28.5,28.7,1300,SASN
05/06/2023,31,31,31,31,200,SASN
02/06/2023,28.5,28.5,28.5,28.5,400,SASN
05/31/2023,28,28.55,26,27.1,1800,SASN
05/30/2023,26,26,26,26,1000,SASN
05/29/2023,28,28,26,26.2,2700,SASN
05/26/2023,25.35,27.15,25,26.15,2000,SASN
05/25/2023,27,27.25,27,27.15,9900,SASN
05/24/2023,27.25,27.25,27.25,27.25,3100,SASN
05/23/2023,27.5,27.5,27,27.25,200,SASN
05/22/2023,29,29,27.7,28.15,300,SASN
05/19/2023,27.5,30,27.5,28.75,200,SASN
05/18/2023,31,31,28.7,29.9,300,SASN
05/17/2023,30,30,27.7,28.65,2400,SASN
05/16/2023,30,30,30,30,100,SASN
05/15/2023,31.3,31.3,31,31.05,600,SASN
12/05/2023,31.3,31.3,31.3,31.3,1600,SASN
11/05/2023,31,31.4,31,31.3,400,SASN
10/05/2023,31.4,31.4,31.4,31.4,100,SASN
09/05/2023,31.5,31.5,27.7,28.55,700,SASN
08/05/2023,31.5,31.5,28.9,29.75,300,SASN
05/05/2023,29,29,27.5,28.65,700,SASN
04/05/2023,28.9,28.9,28.9,28.9,100,SASN
03/05/2023,29,29,28.9,28.9,600,SASN
04/27/2023,27.1,27.8,27.1,27.45,200,SASN
04/26/2023,27,27.1,27,27,1200,SASN
04/25/2023,28,28,28,28,300,SASN
04/24/2023,27.8,28,27,27.4,1900,SASN
04/20/2023,27.8,27.8,27.8,27.8,1200,SASN
04/19/2023,27.8,27.8,27,27.4,6800,SASN
04/18/2023,29.9,29.9,27,27.8,4400,SASN
04/17/2023,27.15,29.9,27,27.35,2500,SASN
04/14/2023,29,29,27,27.2,6100,SASN
04/13/2023,29.9,29.9,29,29.05,3800,SASN
12/04/2023,29,29.9,29,29.15,1800,SASN
11/04/2023,29,29,29,29,13600,SASN
06/04/2023,29,29.5,29,29,4800,SASN
05/04/2023,27.9,29,27.5,27.9,11800,SASN
04/04/2023,27.9,27.9,27.9,27.9,5000,SASN
03/04/2023,25.75,25.75,25.7,25.7,600,SASN
03/31/2023,26,26,25.7,25.75,500,SASN
03/30/2023,27,27,26.8,26.95,2100,SASN
03/29/2023,27,27,27,27,1300,SASN
03/28/2023,27,27,27,27,200,SASN
03/27/2023,25.6,25.6,25.6,25.6,5200,SASN
03/24/2023,25.6,25.6,25.6,25.6,100,SASN
03/23/2023,26.9,26.9,25.5,25.55,3900,SASN
03/22/2023,27,27,26.9,26.9,500,SASN
03/21/2023,27,27,25.5,25.85,900,SASN
03/20/2023,26.95,27,26.95,27,7700,SASN
