Date, Open, High, Low, Close, Volume
09/04/19, 17.10, 17.50, 16.90, 17.10, 300
09/03/19, 17.50, 17.50, 17.50, 17.50, 500
08/30/19, 17.05, 17.50, 17.00, 17.05, 700
08/29/19, 16.90, 16.90, 16.90, 16.90, 300
08/28/19, 17.25, 17.50, 16.90, 17.25, 600
08/27/19, 17.40, 17.50, 17.20, 17.40, 300
08/26/19, 17.00, 17.00, 17.00, 17.00, 8000
08/23/19, 17.00, 17.20, 17.00, 17.00, 8800
08/22/19, 17.00, 17.00, 17.00, 17.00, 1000
08/21/19, 17.05, 17.50, 17.00, 17.05, 600
08/20/19, 17.50, 17.50, 17.50, 17.50, 200
08/19/19, 17.30, 18.00, 17.00, 17.30, 300
08/16/19, 17.00, 17.00, 17.00, 17.00, 400
08/15/19, 16.80, 18.00, 16.65, 16.80, 1100
08/14/19, 18.50, 19.00, 18.00, 18.50, 200
08/13/19, 18.00, 18.00, 18.00, 18.00, 1100
08/09/19, 17.95, 18.00, 17.95, 17.95, 2900
08/08/19, 17.95, 18.00, 17.95, 17.95, 4200
08/07/19, 18.00, 18.00, 18.00, 18.00, 900
08/06/19, 18.40, 19.00, 18.00, 18.40, 500
08/05/19, 18.00, 18.00, 18.00, 18.00, 100
08/02/19, 18.00, 18.00, 18.00, 18.00, 100
08/01/19, 18.00, 18.00, 18.00, 18.00, 3700
07/31/19, 18.00, 18.00, 18.00, 18.00, 200
07/30/19, 18.00, 18.00, 18.00, 18.00, 200
07/29/19, 18.00, 18.10, 18.00, 18.00, 700
07/26/19, 18.10, 18.60, 18.10, 18.10, 16400
07/25/19, 18.10, 18.10, 18.10, 18.10, 5100
07/24/19, 18.15, 19.00, 18.10, 18.15, 9200
07/23/19, 18.10, 18.10, 18.10, 18.10, 600
07/19/19, 19.00, 19.00, 19.00, 19.00, 700
07/18/19, 18.60, 19.00, 18.50, 18.60, 10700
07/17/19, 19.00, 19.00, 19.00, 19.00, 300
07/16/19, 19.50, 19.60, 19.50, 19.50, 700
07/15/19, 18.50, 18.50, 18.50, 18.50, 600
